@relation employee.data
@attribute ID numeric
@attribute Gender {m,f}
@attribute Age {26-33,18-25,34-41,50yearsabove,42-49}
@attribute EducationBackground {bachelor,diploma,master,undergraduate}
@attribute Language {1,2,3,4,5}
@attribute marriage {single,married,divorced}
@attribute PartnerWorking {no,yes}
@attribute Numberofchildren numeric
@attribute AvgAgeoftheirchildren numeric
@attribute Resident {local,not-local}
@attribute Jobtime {ft,pt}
@attribute Hoursofwork numeric
@attribute Salary numeric
@attribute Yearsofservice {0,1,2,3}
@attribute Socialassurance {yes,no}
@attribute Position {leademp,regularemp,manager,supervisor}
@attribute Department {customerservice,others,marketing,humanresource,sales,financial,IT,inventory,preprocessing,Accounting,rawmaterialswarehouse,manufacturing,management,finishing,finishedgoodswarehouse,corporateservices,corporate,assembly,services,marketingmanagement,manufacturingmanagement}
@attribute Computerskills {good,excellent,none}
@attribute Jobsecurity {good,excellent,bad}
@attribute Smoking {yes,no}
@attribute Transportation {yes,no}
@attribute Vacationdays numeric
@attribute Nationality {iraqi,others,kurdish}
@attribute Employmenttype {permanent,fixedtermcontract,temporary}
@attribute No.ofactivities numeric
@attribute No.ofpenalties numeric
@attribute TermReason {none,WorkRuleViolation,AcceptedNewJob,PoorJobfit,PoorPerformance,JobAbandonment,PoorAttendance,medical-Non-JobRelated,Retirement-Normal,JobDissatisfaction,CareerChange,Retirement-Early,Pay,Violence-Threat/Act,medical-JobRelated,ResignedinlieuofTerm,ResignedinLieuofTermination,PersonalReasons,Deceased,WorkConditions/Requirement,EmployeeRelocation,failedDrug/AlcoholScreen}
@attribute Riseinincomereceived {yes,no}
@attribute Employeedisciplined {no,yes}
@attribute Recommendationforpromotion {yes,no}

@data
300,m,18-25,bachelor,3,married,yes,2,3,local,ft,9,2,1,no,regularemp,finishedgoodswarehouse,excellent,good,yes,no,4,iraqi,permanent,5,0,none,no,yes,yes
302,f,18-25,undergraduate,2,married,yes,1,3,local,ft,9,2,0,yes,regularemp,finishedgoodswarehouse,good,good,yes,yes,4,iraqi,permanent,2,0,none,no,yes,yes
10,f,26-33,undergraduate,1,single,no,0,0,local,ft,11,2,2,yes,regularemp,humanresource,none,good,no,yes,4,iraqi,permanent,21,0,none,yes,no,yes
324,f,50yearsabove,master,1,married,yes,3,17,not-local,ft,9,2,1,yes,regularemp,corporateservices,good,good,no,yes,4,iraqi,permanent,10,0,none,no,yes,yes
255,f,34-41,bachelor,1,single,no,0,0,local,ft,8,2,2,yes,manager,preprocessing,good,good,no,yes,2,iraqi,permanent,3,0,none,no,yes,yes
30,m,26-33,diploma,2,married,no,0,0,local,pt,6,2,1,yes,regularemp,sales,good,excellent,yes,yes,4,iraqi,fixedtermcontract,68,0,none,yes,yes,yes
71,f,18-25,bachelor,1,single,no,0,0,local,ft,8,2,1,no,leademp,others,excellent,excellent,no,yes,2,iraqi,fixedtermcontract,1,0,none,yes,no,yes
30,m,26-33,diploma,2,married,no,0,0,local,pt,6,2,1,yes,regularemp,sales,good,excellent,yes,yes,4,iraqi,fixedtermcontract,68,0,none,yes,yes,yes
321,m,34-41,bachelor,1,single,no,0,0,local,ft,8,2,1,no,regularemp,corporateservices,good,good,no,no,1,iraqi,permanent,9,0,none,no,yes,yes
38,m,34-41,bachelor,4,married,no,4,5,local,ft,8,4,2,no,manager,others,excellent,excellent,no,yes,4,iraqi,permanent,4,0,none,yes,yes,yes
359,f,50yearsabove,bachelor,1,married,yes,3,28,local,ft,9,2,1,yes,regularemp,Accounting,excellent,good,no,no,4,iraqi,permanent,4,0,none,no,yes,yes
96,m,18-25,bachelor,1,single,no,0,0,local,ft,8,2,0,yes,regularemp,sales,excellent,good,no,yes,2,iraqi,permanent,4,0,none,yes,yes,yes
243,m,34-41,bachelor,1,single,no,0,0,not-local,ft,8,2,1,yes,regularemp,preprocessing,good,excellent,no,yes,1,iraqi,permanent,3,0,none,no,yes,yes
265,m,26-33,undergraduate,1,married,yes,2,7,local,ft,8,2,1,yes,supervisor,marketing,good,good,no,yes,4,iraqi,permanent,4,0,none,no,yes,yes
320,m,34-41,bachelor,1,single,no,0,0,local,ft,9,2,1,yes,regularemp,corporateservices,good,good,no,yes,4,iraqi,permanent,8,0,none,no,yes,yes
329,m,34-41,bachelor,1,single,no,0,0,local,ft,9,2,1,yes,manager,customerservice,excellent,good,no,yes,4,iraqi,permanent,5,0,none,no,yes,yes
358,f,42-49,bachelor,1,married,yes,5,18,local,ft,8,2,1,no,manager,Accounting,good,good,no,yes,4,iraqi,temporary,7,0,none,no,yes,yes
346,m,34-41,bachelor,4,single,no,0,0,local,ft,9,2,1,yes,regularemp,inventory,good,good,no,yes,4,iraqi,permanent,3,0,none,no,yes,yes
320,m,34-41,bachelor,1,single,no,0,0,local,ft,9,2,1,yes,regularemp,corporateservices,good,good,no,yes,4,iraqi,permanent,8,0,none,no,yes,yes
321,m,34-41,bachelor,1,single,no,0,0,local,ft,8,2,1,no,regularemp,corporateservices,good,good,no,no,1,iraqi,permanent,9,0,none,no,yes,yes
279,m,50yearsabove,diploma,3,married,no,6,27,local,ft,8,2,1,yes,regularemp,manufacturingmanagement,excellent,good,yes,yes,4,iraqi,temporary,0,0,none,no,yes,yes
299,m,34-41,bachelor,3,single,no,0,0,local,ft,9,2,1,yes,regularemp,finishedgoodswarehouse,excellent,good,no,yes,4,iraqi,fixedtermcontract,9,0,none,no,yes,yes
234,m,34-41,bachelor,2,single,yes,0,0,local,ft,8,2,0,yes,leademp,rawmaterialswarehouse,good,good,no,no,4,iraqi,permanent,15,0,none,yes,yes,yes
269,m,50yearsabove,undergraduate,4,married,yes,5,20,local,ft,6,3,0,yes,supervisor,marketing,good,excellent,no,no,4,iraqi,temporary,3,0,none,no,yes,yes
318,f,42-49,bachelor,1,married,yes,4,21,local,ft,9,2,2,yes,regularemp,others,good,excellent,no,yes,1,iraqi,permanent,3,0,none,yes,yes,yes
361,m,26-33,diploma,4,married,yes,2,23,local,ft,9,2,3,yes,supervisor,Accounting,good,excellent,no,no,2,iraqi,permanent,3,0,none,no,yes,yes
98,f,26-33,bachelor,1,married,yes,1,3,local,ft,8,2,2,yes,regularemp,inventory,good,excellent,no,no,4,iraqi,permanent,6,0,none,yes,yes,yes
17,f,18-25,bachelor,1,single,no,0,0,local,ft,8,2,1,yes,regularemp,others,excellent,excellent,no,yes,2,iraqi,permanent,5,0,none,yes,no,yes
241,m,42-49,bachelor,4,married,yes,3,14,local,ft,8,2,1,yes,leademp,preprocessing,good,good,no,yes,4,iraqi,permanent,3,0,none,no,yes,yes
341,m,50yearsabove,bachelor,4,married,yes,0,0,local,ft,9,721000,1,yes,regularemp,customerservice,good,good,yes,yes,4,iraqi,temporary,4,0,none,yes,yes,yes
298,m,34-41,undergraduate,3,single,no,0,0,local,ft,9,2,0,no,manager,finishedgoodswarehouse,excellent,excellent,no,yes,4,iraqi,fixedtermcontract,3,0,none,no,yes,yes
280,f,34-41,bachelor,3,single,no,0,0,local,ft,8,2,1,yes,regularemp,manufacturingmanagement,excellent,excellent,no,yes,4,iraqi,permanent,4,0,none,yes,yes,yes
280,f,34-41,bachelor,3,single,no,0,0,local,ft,8,2,1,yes,regularemp,manufacturingmanagement,excellent,excellent,no,yes,4,iraqi,permanent,4,0,none,yes,yes,yes
294,m,34-41,bachelor,3,married,yes,0,0,local,ft,9,3,0,yes,regularemp,finishedgoodswarehouse,excellent,excellent,no,yes,4,iraqi,permanent,3,0,none,no,yes,yes
106,m,26-33,bachelor,1,single,no,0,0,local,ft,9,2,1,yes,leademp,inventory,good,excellent,no,no,4,iraqi,permanent,3,0,none,yes,yes,yes
296,f,18-25,bachelor,3,single,no,0,0,local,ft,9,2,2,yes,leademp,finishedgoodswarehouse,excellent,good,no,yes,2,iraqi,permanent,2,0,none,no,yes,yes
45,f,26-33,bachelor,2,single,no,0,0,local,ft,8,2,2,yes,regularemp,sales,none,excellent,no,yes,4,iraqi,fixedtermcontract,68,0,none,no,yes,yes
340,m,34-41,bachelor,4,single,no,0,0,local,ft,10,2,0,no,supervisor,IT,excellent,excellent,yes,yes,1,iraqi,permanent,5,0,none,yes,yes,yes
130,m,18-25,diploma,2,single,no,0,0,local,ft,8,2,1,yes,regularemp,IT,excellent,excellent,no,no,2,iraqi,permanent,68,0.089595,none,no,yes,yes
1,m,26-33,bachelor,3,single,no,0,0,local,ft,7,2,2,yes,leademp,customerservice,good,good,yes,yes,0,iraqi,permanent,8,0,none,yes,no,yes
95,f,26-33,diploma,1,married,yes,0,0,local,ft,8,2,2,yes,leademp,marketing,good,good,no,yes,2,iraqi,permanent,5,0,none,yes,yes,yes
234,m,34-41,bachelor,2,single,yes,0,0,local,ft,8,2,0,yes,leademp,rawmaterialswarehouse,good,good,no,no,4,iraqi,permanent,15,0,none,yes,yes,yes
357,m,50yearsabove,bachelor,2,married,yes,6,26,local,ft,8,2,2,yes,regularemp,inventory,good,excellent,no,yes,4,iraqi,permanent,3,0,none,no,yes,yes
88,m,26-33,bachelor,3,married,yes,1,0,local,ft,8,2,1,no,regularemp,marketing,good,excellent,no,yes,4,iraqi,permanent,68,0,none,yes,yes,yes
330,m,34-41,master,1,married,yes,3,11,local,ft,8,2,1,no,regularemp,sales,excellent,excellent,no,yes,4,iraqi,permanent,5,0,none,no,yes,yes
86,m,18-25,undergraduate,2,single,no,0,0,local,ft,8,3,1,yes,regularemp,marketing,good,excellent,yes,yes,2,iraqi,permanent,68,0,none,yes,yes,yes
33,m,26-33,bachelor,3,married,no,1.62465,2388.789916,local,ft,8,2,1,yes,regularemp,sales,good,excellent,no,yes,4,iraqi,fixedtermcontract,4,0,none,yes,yes,yes
312,f,42-49,diploma,2,married,yes,3,20,local,ft,9,2,1,yes,manager,sales,good,excellent,no,yes,4,iraqi,temporary,4,0,none,yes,yes,yes
95,f,26-33,diploma,1,married,yes,0,0,local,ft,8,2,2,yes,leademp,marketing,good,good,no,yes,2,iraqi,permanent,5,0,none,yes,yes,yes
312,f,42-49,diploma,2,married,yes,3,20,local,ft,9,2,1,yes,manager,sales,good,excellent,no,yes,4,iraqi,temporary,4,0,none,yes,yes,yes
270,m,42-49,diploma,1,single,no,0,0,local,ft,7,2,1,yes,regularemp,marketing,good,excellent,no,no,2,iraqi,permanent,6,0,none,no,yes,yes
69,m,42-49,bachelor,4,married,no,2,6,local,ft,9,2,3,yes,manager,humanresource,excellent,excellent,no,yes,4,iraqi,permanent,68,0,none,yes,yes,yes
296,f,18-25,bachelor,3,single,no,0,0,local,ft,9,2,2,yes,leademp,finishedgoodswarehouse,excellent,good,no,yes,2,iraqi,permanent,2,0,none,no,yes,yes
15,m,26-33,bachelor,1,married,no,2,2,local,ft,9,2,3,no,supervisor,sales,good,good,yes,yes,4,iraqi,permanent,21,0,none,yes,no,yes
356,m,42-49,undergraduate,2,married,yes,5,19,local,ft,8,2,1,yes,leademp,IT,excellent,good,no,yes,4,iraqi,permanent,6,0,none,no,yes,yes
269,m,50yearsabove,undergraduate,4,married,yes,5,20,local,ft,6,3,0,yes,supervisor,marketing,good,excellent,no,no,4,iraqi,temporary,3,0,none,no,yes,yes
75,m,34-41,master,3,married,no,2,4,local,ft,8,2,3,no,manager,services,good,good,no,yes,2,iraqi,permanent,4,0,none,yes,yes,yes
43,f,26-33,diploma,1,single,no,0,0,local,ft,8,2,1,yes,regularemp,humanresource,excellent,excellent,no,yes,4,iraqi,permanent,21,0,none,yes,yes,yes
98,f,26-33,bachelor,1,married,yes,1,3,local,ft,8,2,2,yes,regularemp,inventory,good,excellent,no,no,4,iraqi,permanent,6,0,none,yes,yes,yes
258,m,34-41,diploma,1,married,yes,2,21,local,ft,8,2,1,yes,supervisor,preprocessing,good,good,no,yes,4,iraqi,permanent,6,0,none,no,yes,yes
101,m,26-33,bachelor,2,married,yes,0,0,not-local,ft,9,3,3,yes,manager,inventory,excellent,excellent,no,yes,1,iraqi,permanent,2,0,none,yes,yes,yes
338,f,26-33,bachelor,4,single,no,0,0,local,ft,8,2,2,yes,regularemp,inventory,excellent,good,no,yes,4,iraqi,permanent,7,0,none,no,yes,yes
281,m,50yearsabove,diploma,4,married,yes,4,22,local,ft,8,2,3,yes,supervisor,sales,none,good,no,yes,4,iraqi,permanent,1,0,none,yes,yes,yes
329,m,34-41,bachelor,1,single,no,0,0,local,ft,9,2,1,yes,manager,customerservice,excellent,good,no,yes,4,iraqi,permanent,5,0,none,no,yes,yes
353,m,26-33,bachelor,3,married,yes,2,5,local,ft,8,2,1,yes,manager,customerservice,excellent,excellent,no,yes,4,iraqi,temporary,4,0,none,yes,yes,yes
312,f,42-49,diploma,2,married,yes,3,20,local,ft,9,2,1,yes,manager,sales,good,excellent,no,yes,4,iraqi,temporary,4,0,none,yes,yes,yes
102,m,26-33,bachelor,1,married,yes,1,4,local,ft,9,2,2,yes,regularemp,inventory,good,good,no,no,4,iraqi,permanent,3,0,none,yes,yes,yes
351,m,42-49,bachelor,4,married,yes,5,17,not-local,ft,8,2,1,yes,regularemp,inventory,good,good,yes,yes,4,iraqi,permanent,5,0,none,yes,yes,yes
230,m,18-25,bachelor,3,married,yes,1,2,local,ft,8,2,1,yes,regularemp,rawmaterialswarehouse,good,excellent,no,no,2,iraqi,permanent,5,0,none,yes,yes,yes
261,f,50yearsabove,bachelor,1,married,yes,2,14,local,ft,9,2,2,yes,supervisor,marketing,good,good,no,yes,4,iraqi,permanent,4,0,none,no,yes,yes
87,m,34-41,diploma,4,married,no,3,8,local,ft,8,3,1,yes,leademp,marketing,good,excellent,yes,yes,2,iraqi,permanent,21,0,none,yes,yes,yes
255,f,34-41,bachelor,1,single,no,0,0,local,ft,8,2,2,yes,manager,preprocessing,good,good,no,yes,2,iraqi,permanent,3,0,none,no,yes,yes
130,m,18-25,diploma,2,single,no,0,0,local,ft,8,2,1,yes,regularemp,IT,excellent,excellent,no,no,2,iraqi,permanent,21,0.089595,none,no,yes,yes
277,m,34-41,diploma,3,single,no,0,0,local,ft,8,2,2,yes,leademp,manufacturingmanagement,good,excellent,no,yes,4,iraqi,permanent,5,0,none,yes,yes,yes
360,f,50yearsabove,undergraduate,1,married,yes,4,23,local,ft,10,2,1,no,manager,Accounting,excellent,good,no,no,2,iraqi,permanent,3,0,none,no,yes,yes
229,m,50yearsabove,bachelor,2,married,no,6,15,local,ft,8,2,1,yes,manager,Accounting,good,good,no,yes,4,iraqi,permanent,5,0,none,yes,yes,yes
256,m,26-33,diploma,1,single,no,0,0,local,ft,8,2,1,yes,regularemp,preprocessing,excellent,good,no,yes,4,iraqi,permanent,5,0,none,no,yes,yes
98,f,26-33,bachelor,1,married,yes,1,3,local,ft,8,2,2,yes,regularemp,inventory,good,excellent,no,no,4,iraqi,permanent,6,0,none,yes,yes,yes
306,f,50yearsabove,bachelor,2,married,yes,5,24,local,ft,8,3,2,yes,supervisor,finishedgoodswarehouse,good,good,yes,no,4,iraqi,permanent,2,0,none,yes,yes,yes
5,m,34-41,master,2,married,yes,0,0,local,ft,8,2,1,yes,leademp,others,good,good,no,yes,4,iraqi,permanent,21,0,none,yes,no,yes
87,m,34-41,diploma,4,married,no,3,8,local,ft,8,3,1,yes,leademp,marketing,good,excellent,yes,yes,2,iraqi,permanent,21,0,none,yes,yes,yes
5,m,34-41,master,2,married,yes,0,0,local,ft,8,2,1,yes,leademp,others,good,good,no,yes,4,iraqi,permanent,21,0,none,yes,no,yes
2,m,26-33,bachelor,3,single,no,0,0,local,ft,8,2,1,yes,leademp,others,excellent,excellent,yes,no,0,iraqi,permanent,10,0,none,yes,no,yes
326,f,50yearsabove,bachelor,1,married,no,5,22,local,ft,8,2,1,yes,regularemp,corporateservices,good,excellent,no,yes,4,iraqi,permanent,6,0,none,no,yes,yes
296,f,18-25,bachelor,3,single,no,0,0,local,ft,9,2,2,yes,leademp,finishedgoodswarehouse,excellent,good,no,yes,2,iraqi,permanent,2,0,none,no,yes,yes
3,f,18-25,bachelor,2,single,no,0,0,local,ft,8,2,1,yes,regularemp,customerservice,excellent,excellent,no,yes,1,iraqi,permanent,5,0,none,no,no,yes
282,m,42-49,bachelor,3,married,yes,3,19,local,ft,8,2,2,yes,leademp,IT,none,good,no,yes,2,iraqi,fixedtermcontract,2,0,none,yes,yes,yes
268,m,50yearsabove,bachelor,2,married,no,4,19,local,ft,9,2,1,yes,manager,marketing,excellent,good,no,no,4,iraqi,permanent,4,0,none,no,yes,yes
335,m,26-33,bachelor,1,married,yes,2,6,local,ft,8,2,1,yes,regularemp,humanresource,good,good,no,yes,4,iraqi,permanent,7,0,none,no,yes,yes
10,f,26-33,undergraduate,1,single,no,0,0,local,ft,11,2,2,yes,regularemp,humanresource,none,good,no,yes,4,iraqi,permanent,21,0,none,yes,no,yes
360,f,50yearsabove,undergraduate,1,married,yes,4,23,local,ft,10,868000,1,no,manager,Accounting,excellent,good,no,no,2,iraqi,permanent,3,0,none,no,yes,yes
330,m,34-41,master,1,married,yes,3,11,local,ft,8,2,1,no,regularemp,sales,excellent,excellent,no,yes,4,iraqi,permanent,5,0,none,no,yes,yes
287,m,34-41,diploma,3,single,no,0,0,local,ft,8,2,1,yes,supervisor,finishing,good,good,no,yes,4,iraqi,temporary,4,0,none,no,yes,yes
325,m,50yearsabove,bachelor,1,married,yes,4,23,local,ft,9,2,0,yes,regularemp,corporateservices,excellent,good,no,no,4,iraqi,permanent,5,0,none,no,yes,yes
261,f,50yearsabove,bachelor,1,married,yes,2,14,local,ft,9,2,2,yes,supervisor,marketing,good,good,no,yes,4,iraqi,permanent,4,0,none,no,yes,yes
275,m,34-41,bachelor,1,married,no,3,21,local,ft,8,2,1,yes,manager,manufacturingmanagement,none,good,no,yes,4,iraqi,permanent,4,0,none,yes,yes,yes
36,m,42-49,bachelor,3,married,no,0,0,local,ft,8,3,2,yes,supervisor,humanresource,good,excellent,no,yes,4,iraqi,permanent,3,0,none,yes,yes,yes
111,m,26-33,bachelor,2,married,yes,1,3,local,ft,9,3,2,yes,supervisor,IT,excellent,excellent,no,no,3,iraqi,permanent,21,0,none,yes,yes,yes
81,m,26-33,undergraduate,2,married,no,1,3,local,ft,8,2,2,yes,regularemp,sales,good,good,no,yes,4,iraqi,temporary,21,0,none,no,no,yes
351,m,42-49,bachelor,4,married,yes,5,17,not-local,ft,8,2,1,yes,regularemp,inventory,good,good,yes,yes,4,iraqi,permanent,5,0,none,yes,yes,yes
358,f,42-49,bachelor,1,married,yes,5,18,local,ft,8,2,1,no,manager,Accounting,good,good,no,yes,4,iraqi,temporary,7,0,none,no,yes,yes
285,m,42-49,bachelor,1,single,no,0,0,local,ft,8,2,1,no,supervisor,services,good,good,no,yes,4,iraqi,permanent,5,0,none,no,yes,yes
289,m,34-41,bachelor,3,single,no,0,0,local,ft,9,2,3,yes,regularemp,finishing,excellent,good,no,yes,4,iraqi,permanent,1,0,none,no,yes,yes
88,m,26-33,bachelor,3,married,yes,1,0,local,ft,8,2,1,no,regularemp,marketing,good,excellent,no,yes,4,iraqi,permanent,21,0,none,yes,yes,yes
265,m,26-33,undergraduate,1,married,yes,2,7,local,ft,8,2,1,yes,supervisor,marketing,good,good,no,yes,4,iraqi,permanent,4,0,none,no,yes,yes
92,m,26-33,bachelor,3,married,no,0,0,local,ft,8,2,1,yes,leademp,sales,good,good,no,yes,2,iraqi,temporary,15,0,none,yes,yes,yes
97,f,26-33,diploma,1,married,yes,1,1,local,pt,9,2,1,yes,regularemp,inventory,good,excellent,no,no,1,iraqi,temporary,7,0,none,yes,yes,yes
362,m,34-41,diploma,4,married,no,2,12,local,ft,9,2,2,yes,leademp,Accounting,excellent,good,no,yes,4,iraqi,permanent,7,0,none,no,yes,yes
10,f,26-33,undergraduate,1,single,no,0,0,local,ft,11,2,2,yes,regularemp,humanresource,none,good,no,yes,4,iraqi,permanent,15,0,none,yes,no,yes
332,m,34-41,bachelor,1,single,no,0,0,local,ft,8,2,1,no,regularemp,humanresource,good,good,no,yes,4,iraqi,permanent,2,0,none,no,yes,yes
342,m,42-49,bachelor,4,married,yes,3,24,local,ft,9,2,1,yes,regularemp,marketing,none,excellent,no,no,4,iraqi,permanent,641000,0,none,yes,yes,yes
99,m,34-41,bachelor,2,married,yes,1,3,local,ft,8,2,2,yes,supervisor,inventory,good,good,no,no,4,iraqi,permanent,4,0,none,yes,yes,yes
253,m,50yearsabove,bachelor,2,married,yes,4,24,local,ft,8,3,2,yes,supervisor,preprocessing,excellent,excellent,no,no,4,iraqi,temporary,2,0,none,yes,yes,yes
109,m,18-25,diploma,2,married,no,0,0,local,ft,9,2,0,yes,regularemp,humanresource,excellent,good,no,no,4,iraqi,permanent,2,0,none,yes,yes,yes
341,m,50yearsabove,bachelor,4,married,yes,0,0,local,ft,9,721000,1,yes,regularemp,customerservice,good,good,yes,yes,4,iraqi,temporary,4,0,none,yes,yes,yes
96,m,18-25,bachelor,1,single,no,0,0,local,ft,8,2,0,yes,regularemp,sales,excellent,good,no,yes,2,iraqi,permanent,4,0,none,yes,yes,yes
43,f,26-33,diploma,1,single,no,0,0,local,ft,8,2,1,yes,regularemp,humanresource,excellent,excellent,no,yes,4,iraqi,permanent,15,0,none,yes,yes,yes
290,m,42-49,bachelor,3,married,no,0,0,local,ft,8,11,2,no,supervisor,finishing,excellent,good,no,yes,4,iraqi,fixedtermcontract,5,0,none,no,yes,yes
287,m,34-41,diploma,3,single,no,0,0,local,ft,8,2,1,yes,supervisor,finishing,good,good,no,yes,4,iraqi,temporary,4,0,none,no,yes,yes
245,m,50yearsabove,diploma,1,married,yes,0,0,local,ft,8,2,1,yes,regularemp,preprocessing,excellent,excellent,no,yes,4,iraqi,permanent,3,0,none,yes,yes,yes
8,f,26-33,bachelor,3,married,yes,1,3,local,ft,8,2,2,yes,regularemp,others,excellent,good,no,yes,4,iraqi,fixedtermcontract,10,0,none,yes,no,yes
73,m,26-33,bachelor,3,married,no,1,5,local,ft,8,2,2,yes,regularemp,others,good,bad,no,no,4,iraqi,permanent,5,0,none,no,yes,yes
111,m,26-33,bachelor,2,married,yes,1,3,local,ft,9,3,2,yes,supervisor,IT,excellent,excellent,no,no,3,iraqi,permanent,15,0,none,yes,yes,yes
18,f,26-33,master,2,single,no,0,0,not-local,ft,7,2,2,no,manager,marketing,excellent,good,yes,yes,4,others,fixedtermcontract,15,0,none,yes,yes,yes
14,m,50yearsabove,bachelor,3,married,no,0,0,local,ft,8,2,1,yes,manager,financial,good,good,no,yes,4,iraqi,permanent,15,0,none,yes,no,yes
318,f,42-49,bachelor,1,married,yes,4,21,local,ft,9,2,2,yes,regularemp,others,good,excellent,no,yes,1,iraqi,permanent,3,0,none,yes,yes,yes
46,f,26-33,undergraduate,2,divorced,no,0,0,local,ft,8,2,1,yes,regularemp,sales,none,excellent,no,yes,4,iraqi,fixedtermcontract,15,0,none,no,yes,yes
299,m,34-41,bachelor,3,single,no,0,0,local,ft,9,2,1,yes,regularemp,finishedgoodswarehouse,excellent,good,no,yes,4,iraqi,fixedtermcontract,9,0,none,no,yes,yes
234,m,34-41,bachelor,2,single,yes,0,0,local,ft,8,2,0,yes,leademp,rawmaterialswarehouse,good,good,no,no,4,iraqi,permanent,15,0,none,yes,yes,yes
70,f,26-33,bachelor,2,married,no,1,4,local,ft,8,2,2,yes,supervisor,humanresource,excellent,excellent,no,yes,2,iraqi,permanent,4,0,none,yes,no,yes
314,m,42-49,bachelor,2,married,yes,5,27,not-local,ft,8,2,1,yes,regularemp,inventory,good,good,no,yes,2,iraqi,permanent,2,0,none,yes,yes,yes
